playlist_title,video_id,title,views,likes,comments,published_at,duration
QUERIDO DIÁRIO,5KRCnEybaME,ACERTANDO DETALHES PRO MELHOR BAILE DO BR - QUERIDO DIÁRIO com PRISCILA EVELLYN #14,48449,2466,44,2024-10-03T15:54:21Z,PT50M6S
QUERIDO DIÁRIO,QOgH5djunOA,ENCONTREI MEU CRUSH NO ROCK IN RIO - QUERIDO DIÁRIO com PRISCILA EVELLYN #13,56455,2759,34,2024-09-26T15:50:50Z,PT46M55S
QUERIDO DIÁRIO,k0jMubiOw0U,A EXPERIÊNCIA COMPLETA COM TRAVIS SCOTT - QUERIDO DIÁRIO com PRISCILA EVELLYN #12,50089,2772,57,2024-09-19T15:39:45Z,PT36M20S
QUERIDO DIÁRIO,GY1FkB18W5c,FUI EM UM PROGRAMA DA CONCORRÊNCIA + THE WEEKND E ANITTA - QUERIDO DIÁRIO com PRISCILA EVELLYN #11,62856,3773,63,2024-09-12T15:49:08Z,PT45M15S
QUERIDO DIÁRIO,thS-bmcKFzY,O QUE ACONTECE NA FESTA MAIS HYPADA DO PAÍS? - QUERIDO DIÁRIO com PRISCILA EVELLYN #10,74339,4228,69,2024-09-05T15:46:25Z,PT42M55S
QUERIDO DIÁRIO,cBOsQPBWMEA,TOMEI ALGUMAS DECISÕES SOBRE ESSE REALITY - QUERIDO DIÁRIO com PRISCILA EVELLYN #09,64803,4026,57,2024-08-29T15:33:48Z,PT32M1S
QUERIDO DIÁRIO,yrNVt5yjycc,TUDO O QUE FIZ EM IBIZA SEM CENSURA - QUERIDO DIÁRIO com PRISCILA EVELLYN #08,125030,7640,118,2024-08-22T15:34:17Z,PT29M31S
QUERIDO DIÁRIO,CbHDxUzVeW4,O QUE ACHEI DE PARIS - QUERIDO DIÁRIO com PRISCILA EVELLYN #07,108462,6213,88,2024-08-15T15:41:36Z,PT37M30S
QUERIDO DIÁRIO,LpcYR7xH9MI,FUI CONVIDADA PARA IR PRA PARIS - QUERIDO DIÁRIO com PRISCILA EVELLYN #06,107939,6596,84,2024-08-08T15:47:03Z,PT42M6S
QUERIDO DIÁRIO,zX9O4QrYACM,MINHA PRIMEIRA VEZ EM MIAMI - QUERIDO DIÁRIO com PRISCILA EVELLYN #05,184589,14126,305,2024-08-01T15:32:28Z,PT27M56S
QUERIDO DIÁRIO,XYV-ODTqFrM,MINHAS MERECIDAS FÉRIAS EM UMA ILHA PARADISÍACA - QUERIDO DIÁRIO com PRISCILA EVELLYN #04,188099,14034,238,2024-07-25T15:27:25Z,PT24M
QUERIDO DIÁRIO,7rE1wuF4Na8,MEU ANIVERSÁRIO VIROU UM BAILE FUNK! - QUERIDO DIÁRIO com PRISCILA EVELLYN #03,157689,12045,219,2024-07-18T15:29:52Z,PT26M46S
BATALHA DA ALDEIA,qLaLY4A-KdQ,BATALHA DA ALDEIA #398 - Bate e Volta,134710,5631,32,2024-12-03T02:26:45Z,PT2H59M33S
BATALHA DA ALDEIA,HXB-okb_Emk,BATALHA DA ALDEIA #397 - 45 Segundos,125337,5533,36,2024-11-26T02:01:51Z,PT2H36M15S
