video_id,comment_text,like_count
-rYdWF9Ky2U,Diva Gomes vendo isso: 😡,0
-rYdWF9Ky2U,"""Ce gosta de anime Manuel Gomes? 
....
""Anúncio da Centauro""",1
-rYdWF9Ky2U,incrível 😂❤,0
-rYdWF9Ky2U,Brino e Maumau fixo nesse quadro pfvr,0
-rYdWF9Ky2U,Brino melhorou muito 😂😂,4
-rYdWF9Ky2U,Mds kkkkkkkkkkkkkkk,0
-rYdWF9Ky2U,OS MELHORESSS KAKAKAKA,0
-rYdWF9Ky2U,"""Manuel Manuel Manuel 👍🏻👉🏻👈🏻👇🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻""",0
-rYdWF9Ky2U,Dileira,0
-rYdWF9Ky2U,Que vídeo sensacional,2
-rYdWF9Ky2U,cara que video perfeito kakakakaaak,3
-rYdWF9Ky2U,"Eu ri tanto, pqp",5
-rYdWF9Ky2U,Vô fecha os zois,4
-rYdWF9Ky2U,Você gosta de dormir cedo?,0
-rYdWF9Ky2U,Ahhhhhhhhhhhhhhhh vemaaariaaaaaaaaaaa doidooooooooo,0
-rYdWF9Ky2U,Ele deixou de ser besta 😂😂😂,2
-rYdWF9Ky2U,Melhor episódio 😂😂😂,0
-rYdWF9Ky2U,É tão bom que parece IA,2
-rYdWF9Ky2U,Rsrsrs comédia pra krlh mn srrsrsrs,1
-rYdWF9Ky2U,4:58 começa,0
-rYdWF9Ky2U,Melhor vídeo que já vi na vida 😂❤,1
-rYdWF9Ky2U,MEU SONHO meu tio Biu nesse quadro veiiii,0
-rYdWF9Ky2U,Esse Brino é muito otario,0
-rYdWF9Ky2U,RONALDINHO GAUCHO,0
-rYdWF9Ky2U,Coitado do Manoel cara kkkkkkkk,1
-rYdWF9Ky2U,BALESTRIN AQUI!!!,0
-rYdWF9Ky2U,AKKKKKKKKKKKJSSDL,0
-rYdWF9Ky2U,😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,"Krlh mano, muitoooo bom kakakakakakkakakakakakkaka",2
-rYdWF9Ky2U,histórico,0
-rYdWF9Ky2U,Alô Marilene no pod paquera,1
-rYdWF9Ky2U,Muito bom ksksksksksksksks,0
-rYdWF9Ky2U,Dilera nesse quadro. Pra ontem!!!,3
-rYdWF9Ky2U,Sou  muito  fã  do  Manoel  Gomes 🎸🥁  aqui  é  O  Cantor  Guerreiro  de  sergipe,2
-rYdWF9Ky2U,Sou  muito  fã  do  Manoel  Gomes  1:15:27,6
-rYdWF9Ky2U,Esses cortes secos foram ótimos,0
-rYdWF9Ky2U,Cidade  poço verde Estado sergipe 🇧🇷,1
-rYdWF9Ky2U,"melhor podpaquera de todos,😂😂😂😂😂😂😂😂",0
-rYdWF9Ky2U,Julio balestrin no pod paquera!!!!,0
-rYdWF9Ky2U,Julio Balestrin no PodPaquera!!,5
-rYdWF9Ky2U,Destinoooo😢😢,0
-rYdWF9Ky2U,Veigh no pod paquera,1
-rYdWF9Ky2U,KKAKAKAKAK AI PASSEI MAL VENDO,0
-rYdWF9Ky2U,Manoel e muito inocente 😂,2
-rYdWF9Ky2U,"Zeraram o game!!!!!😅
😊",3
-rYdWF9Ky2U,😂😂😂😂😂,0
-rYdWF9Ky2U,😂😂😂😂,0
-rYdWF9Ky2U,as mulheres dando mais entretenimento dos que as menininhas,5
-rYdWF9Ky2U,meu deus obg por deixar esse time fixo melhor coisa!!!!!❤❤❤❤,3
-rYdWF9Ky2U,Que ep bom 😂,0
-rYdWF9Ky2U,Mano melhor de todos slk 😂😂😂❤🎉🎉🎉,0
-rYdWF9Ky2U,Meu Deus que tortura,0
-rYdWF9Ky2U,Nunca rir tanto com essa programa 😂,0
-rYdWF9Ky2U,"Sem palavras, esse programa tá tudooo 😂😂",1
-rYdWF9Ky2U,"silêncio, estou estudando ✍️",5
-rYdWF9Ky2U,Melhor coisa e fuma um baseado e ver esse podpah😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,Júlio balestrin 🎉🎉,0
-rYdWF9Ky2U,1:06:24 é gato miando 😂😂😂,0
-rYdWF9Ky2U,😂😂😂😂😂😂,0
-rYdWF9Ky2U,JULIO BALESTRIN SERIA MUITO BOM,0
-rYdWF9Ky2U,esse é o melhor vídeo da história da internet brasileira,2
-rYdWF9Ky2U,Melhor episódio,0
-rYdWF9Ky2U,Amei 😂😂😂😂😂,0
-rYdWF9Ky2U,❤❤❤❤,0
-rYdWF9Ky2U,4:57 começo,1
-rYdWF9Ky2U,Nunca ri tanto 😂😂😂 isso tá maravilhoso !!,0
-rYdWF9Ky2U,Patrimônio Nacional da internet,2
-rYdWF9Ky2U,😂😂😂😂😂,0
-rYdWF9Ky2U,Melhor pod paquera,0
-rYdWF9Ky2U,QUE VIDEO BOMKKJKJKJKJKKKJJKKJKJKJKJKKI,0
-rYdWF9Ky2U,Julio balestrin no próximooo,0
-rYdWF9Ky2U,video denunciado em 80 contas fakes russas,0
-rYdWF9Ky2U,Puro suco do entretenimento brasileiro 😂😂😂,7
-rYdWF9Ky2U,"MEU DEUSSS, BAGULHO CONSTRANGEDORRRRR",0
-rYdWF9Ky2U,Melhor vídeo do planeta,0
-rYdWF9Ky2U,Hahahahhahghhahhah VC GOSTA DE DORMI CEDO 😂,2
-rYdWF9Ky2U,Manoel Gomes é muito engraçado 😂😂😂😂,0
-rYdWF9Ky2U,Julião Balestrin no podpaquera,3
-rYdWF9Ky2U,Eu sei bem como assediar um fã ?,3
-rYdWF9Ky2U,Julião no pod paquera pra ontem,0
-rYdWF9Ky2U,Dei muita risada pqpr 😂😂😂😂,2
-rYdWF9Ky2U,"“Coladinho, Coladinho” 😂😂😂😂😂😂😂😂😂😂😂😂😂",4
-rYdWF9Ky2U,Que bost4,0
